Time,Temperature
2024-11-30 16:12:00,5.73 °C
2024-11-30 16:27:00,5.46 °C
2024-11-30 16:43:00,5.15 °C
2024-11-30 16:58:00,4.84 °C
2024-11-30 17:13:00,4.59 °C
2024-11-30 17:28:00,4.09 °C
2024-11-30 17:43:00,3.74 °C
2024-11-30 17:58:00,3.54 °C
2024-11-30 18:14:00,3.59 °C
2024-11-30 18:29:00,3.36 °C
2024-11-30 18:44:00,3.08 °C
2024-11-30 18:59:00,3.13 °C
2024-11-30 19:14:00,2.68 °C
2024-11-30 19:29:00,2.28 °C
2024-11-30 19:45:00,2.3 °C
2024-11-30 20:00:00,1.62 °C
2024-11-30 20:15:00,1.55 °C
2024-11-30 20:30:00,1.65 °C
2024-11-30 20:45:00,1.41 °C
2024-11-30 21:00:00,1.06 °C
2024-11-30 21:15:00,0.75 °C
2024-11-30 21:31:00,0.45 °C
2024-11-30 21:46:00,0.24 °C
2024-11-30 22:01:00,-0.06 °C
2024-11-30 22:16:00,-0.31 °C
2024-11-30 22:31:00,0.49 °C
2024-11-30 22:46:00,-0.57 °C
2024-11-30 23:02:00,-0.31 °C
2024-11-30 23:17:00,-0.31 °C
2024-11-30 23:32:00,-0.66 °C
2024-11-30 23:47:00,-0.66 °C
2024-12-01 00:02:00,-0.87 °C
2024-12-01 00:17:00,-0.87 °C
2024-12-01 00:33:00,-0.87 °C
2024-12-01 00:48:00,-0.04 °C
2024-12-01 01:03:00,-0.04 °C
2024-12-01 01:18:00,-1.22 °C
2024-12-01 01:33:00,-1.22 °C
2024-12-01 01:48:00,-0.14 °C
2024-12-01 02:04:00,-0.59 °C
2024-12-01 02:19:00,-0.61 °C
2024-12-01 02:34:00,-0.89 °C
2024-12-01 02:49:00,-0.88 °C
2024-12-01 03:04:00,-0.89 °C
2024-12-01 03:19:00,-0.89 °C
2024-12-01 03:35:00,-1.44 °C
2024-12-01 03:50:00,-1.44 °C
2024-12-01 04:05:00,-1.44 °C
2024-12-01 04:20:00,-1.45 °C
2024-12-01 04:35:00,-1.99 °C
2024-12-01 04:50:00,-1.99 °C
2024-12-01 05:05:00,-1.45 °C
2024-12-01 05:21:00,-1.99 °C
2024-12-01 05:36:00,-1.45 °C
2024-12-01 05:51:00,-1.45 °C
2024-12-01 06:06:00,-0.89 °C
2024-12-01 06:21:00,-0.89 °C
2024-12-01 06:36:00,-0.89 °C
2024-12-01 06:52:00,-0.75 °C
2024-12-01 07:07:00,-0.62 °C
2024-12-01 07:22:00,-0.62 °C
2024-12-01 07:37:00,-0.62 °C
2024-12-01 07:52:00,-0.62 °C
2024-12-01 08:07:00,-0.67 °C
2024-12-01 08:23:00,-0.21 °C
2024-12-01 08:38:00,1.47 °C
2024-12-01 08:53:00,2.03 °C
2024-12-01 09:08:00,3 °C
2024-12-01 09:23:00,2.54 °C
2024-12-01 09:38:00,3.5 °C
2024-12-01 09:54:00,3.45 °C
2024-12-01 10:09:00,4.61 °C
2024-12-01 10:24:00,1.84 °C
2024-12-01 10:39:00,1.84 °C
2024-12-01 10:54:00,8.69 °C
2024-12-01 11:09:00,5.86 °C
2024-12-01 11:25:00,5.86 °C
2024-12-01 11:40:00,4.04 °C
2024-12-01 11:55:00,4.6 °C
2024-12-01 12:10:00,4.6 °C
2024-12-01 12:25:00,5.15 °C
2024-12-01 12:40:00,5.15 °C
2024-12-01 12:56:00,4.6 °C
2024-12-01 13:11:00,7.44 °C
2024-12-01 13:26:00,5.71 °C
2024-12-01 13:41:00,8.47 °C
2024-12-01 13:56:00,5.71 °C
2024-12-01 14:11:00,6 °C
2024-12-01 14:27:00,3.7 °C
2024-12-01 14:42:00,1.33 °C
2024-12-01 14:57:00,3.15 °C
2024-12-01 15:12:00,2.65 °C
2024-12-01 15:27:00,2.61 °C
2024-12-01 15:42:00,1.03 °C
2024-12-01 15:58:00,0.54 °C
2024-12-01 16:13:00,0.34 °C
2024-12-01 16:28:00,0.33 °C
2024-12-01 16:43:00,0.33 °C
2024-12-01 16:58:00,0.32 °C
2024-12-01 17:13:00,0.31 °C
2024-12-01 17:29:00,0.33 °C
2024-12-01 17:44:00,0.34 °C
2024-12-01 17:59:00,-0.08 °C
2024-12-01 18:14:00,0.31 °C
2024-12-01 18:29:00,0.45 °C
2024-12-01 18:44:00,0.45 °C
2024-12-01 19:00:00,0.84 °C
2024-12-01 19:15:00,0.69 °C
2024-12-01 19:30:00,0.81 °C
2024-12-01 19:45:00,1.05 °C
2024-12-01 20:00:00,0.87 °C
2024-12-01 20:15:00,0.47 °C
2024-12-01 20:31:00,0.77 °C
2024-12-01 20:46:00,-0.08 °C
2024-12-01 21:01:00,0.03 °C
2024-12-01 21:16:00,0.45 °C
2024-12-01 21:31:00,0.45 °C
2024-12-01 21:46:00,0.42 °C
2024-12-01 22:01:00,0.96 °C
2024-12-01 22:17:00,1.06 °C
2024-12-01 22:32:00,0.35 °C
2024-12-01 22:47:00,0.35 °C
2024-12-01 23:02:00,1.41 °C
2024-12-01 23:17:00,1.74 °C
2024-12-01 23:32:00,1.74 °C
2024-12-01 23:48:00,1.74 °C
2024-12-02 00:03:00,1.54 °C
2024-12-02 00:18:00,1.15 °C
2024-12-02 00:33:00,0.84 °C
2024-12-02 00:48:00,1.56 °C
2024-12-02 02:01:00,1.68 °C
2024-12-02 02:16:00,1.68 °C
2024-12-02 02:31:00,1.68 °C
2024-12-02 02:46:00,1.7 °C
2024-12-02 03:01:00,2.01 °C
2024-12-02 03:16:00,2.01 °C
2024-12-02 03:17:00,2.01 °C
2024-12-02 03:32:00,2.13 °C
2024-12-02 03:47:00,2.07 °C
2024-12-02 04:02:00,2.13 °C
2024-12-02 04:17:00,2.15 °C
2024-12-02 04:32:00,2.16 °C
2024-12-02 04:47:00,2.27 °C
2024-12-02 05:03:00,2.27 °C
2024-12-02 05:18:00,2.68 °C
2024-12-02 05:33:00,2.68 °C
2024-12-02 05:48:00,3.27 °C
2024-12-02 06:03:00,3.28 °C
2024-12-02 06:18:00,2.82 °C
2024-12-02 06:34:00,4.57 °C
2024-12-02 06:49:00,4.57 °C
2024-12-02 07:04:00,3.52 °C
